angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.52,,"[219, 72, 128, 162]",,0.0,,0.04,,0.0,,0.14,,0.3,,0.0,
0.39,,"[221, 72, 127, 163]",,0.0,,0.05,,0.0,,0.21,,0.36,,0.0,
0.44,,"[219, 71, 131, 164]",,0.0,,0.04,,0.0,,0.21,,0.31,,0.0,
0.58,,"[219, 70, 130, 164]",,0.0,,0.04,,0.0,,0.15,,0.23,,0.0,
0.58,,"[219, 70, 130, 164]",,0.0,,0.04,,0.0,,0.15,,0.23,,0.0,
0.5,,"[218, 70, 131, 164]",,0.0,,0.04,,0.0,,0.17,,0.29,,0.0,
0.42,,"[218, 70, 131, 165]",,0.0,,0.04,,0.0,,0.21,,0.33,,0.0,
0.4,,"[216, 69, 133, 166]",,0.0,,0.04,,0.0,,0.25,,0.3,,0.0,
0.49,,"[217, 68, 132, 166]",,0.0,,0.03,,0.0,,0.19,,0.29,,0.0,
0.46,,"[214, 67, 135, 170]",,0.0,,0.04,,0.0,,0.24,,0.26,,0.0,
0.46,,"[214, 67, 135, 170]",,0.0,,0.04,,0.0,,0.24,,0.26,,0.0,
0.34,,"[214, 67, 136, 171]",,0.0,,0.05,,0.0,,0.34,,0.27,,0.0,
0.3,,"[215, 70, 133, 167]",,0.0,,0.06,,0.0,,0.32,,0.33,,0.0,
0.36,,"[217, 69, 134, 168]",,0.0,,0.04,,0.0,,0.3,,0.3,,0.0,
0.35,,"[217, 69, 135, 168]",,0.0,,0.05,,0.0,,0.25,,0.34,,0.0,
0.4,,"[218, 69, 134, 168]",,0.0,,0.05,,0.0,,0.24,,0.31,,0.0,
0.4,,"[216, 67, 136, 171]",,0.0,,0.04,,0.0,,0.29,,0.26,,0.0,
0.35,,"[217, 68, 135, 170]",,0.0,,0.04,,0.0,,0.29,,0.31,,0.0,
0.22,,"[217, 69, 135, 172]",,0.0,,0.09,,0.0,,0.35,,0.33,,0.0,
0.22,,"[217, 68, 135, 172]",,0.0,,0.07,,0.0,,0.4,,0.31,,0.0,
0.28,,"[218, 67, 135, 173]",,0.0,,0.06,,0.0,,0.36,,0.29,,0.0,
0.23,,"[216, 67, 137, 173]",,0.0,,0.05,,0.0,,0.42,,0.29,,0.0,
0.24,,"[215, 67, 138, 173]",,0.0,,0.05,,0.0,,0.41,,0.29,,0.0,
0.13,,"[214, 67, 138, 175]",,0.0,,0.09,,0.0,,0.46,,0.32,,0.0,
0.1,,"[212, 66, 139, 176]",,0.0,,0.07,,0.0,,0.6,,0.23,,0.0,
0.11,,"[212, 65, 141, 179]",,0.0,,0.07,,0.0,,0.58,,0.24,,0.0,
0.11,,"[212, 65, 141, 179]",,0.0,,0.08,,0.0,,0.58,,0.24,,0.0,
0.12,,"[215, 66, 139, 177]",,0.0,,0.08,,0.0,,0.49,,0.32,,0.0,
0.12,,"[215, 66, 139, 177]",,0.0,,0.08,,0.0,,0.49,,0.32,,0.0,
0.18,,"[216, 65, 139, 178]",,0.0,,0.05,,0.0,,0.49,,0.27,,0.0,
0.19,,"[216, 66, 140, 178]",,0.0,,0.06,,0.0,,0.51,,0.24,,0.0,
0.18,,"[216, 68, 140, 176]",,0.0,,0.06,,0.0,,0.5,,0.25,,0.0,
